,City,Title,Company,Location,Description,Salary
93,Los+Angeles,"Manager, Data Integration & Analysis",Creative Talent,Nothing_found,"Data team, data integrity team and others as assigned. Work with the data team to coordinate and maintain data integrity procedures, processes, and policies...",Creative Talent
94,Philadelphia,Nothing_found,Nothing_found,Nothing_found,Nothing_found,
95,Philadelphia,Bioanalytical Scientist,"Alliance Pharma, Inc.",Nothing_found,(2) Ensuring the scientific quality of data in order to meet GLP/GCP regulatory expectations. We are currently seeking a Scientist to conduct bioanalysis of...,"Alliance Pharma, Inc."
96,Philadelphia,Data Analyst,Ascensus,Nothing_found,"As a Data Analyst at Ascensus, you will conduct data analysis to support data scientist studies through a broad spectrum of data mining responsibilities such as...","Ascensus


90 reviews"
97,Philadelphia,Scientist-Formulation Development,The Mentholatum Company,Nothing_found,"Competency with Microsoft Word, Excel, PowerPoint, and ability to learn laboratory data management software. Communicate scientific data by preparing technical...",The Mentholatum Company
98,Philadelphia,"Investigator, Organoid and Cell Biologist (Oncology)",GlaxoSmithKline,"Upper Providence, PA","Independently execute laboratory experiments, apply advanced data analysis, integration and interpretation with an emphasis on providing appropriate context for...",Nothing_found
99,Philadelphia,Senior Scientific Writing Specialist,Spark Therapeutics,"Philadelphia, PA 19104 (Belmont area)","The individual will have the opportunity to establish standards for data reporting and visualization, and will work extensively to implement LIMS and other data...",Nothing_found
100,Philadelphia,"Research Scientist, Vector Engineering",SwanBio Therapeutics,"Philadelphia, PA","RESEARCH SCIENTIST, VECTOR ENGINEERING. Ability to concisely and accurately report technical data and information....",Nothing_found
101,Philadelphia,Data Scientist,TE Connectivity,"Berwyn, PA 19312",This position will directly report to the Senior Manager of Data Science and Lead Data Scientist at TE and is expected to support a variety of complex analysis...,Nothing_found
102,Philadelphia,GI THERAPEUTIC AREA INTERN,Johnson & Johnson Family of Companies,"Spring House, PA","Assist with data review activities for Gastroenterology clinical studies. The focus of this position is to assist Clinical Scientist, Study Responsible...",Nothing_found
103,Philadelphia,Quality Assurance Scientist,Eurofins Lancaster Laboratories Professional Scien...,"Philadelphia, PA",Peer review of data. The Scientist will work in a fast-paced entrepreneurial environment providing data review support as well as cross train in technical areas...,Nothing_found
104,Philadelphia,Senior Data Engineer,Adaptimmune,"Philadelphia, PA 19112 (Marconi Plaza-Packer Park area)","Combination of IT software engineering, package application programming, data engineering, data integration, and data visualization skills with data science or...",Nothing_found
105,Philadelphia,Senior Data Engineer,The Meet Group,"Philadelphia, PA","As a subject matter expert in data architecture, you will mentor junior engineers and data scientists. Working closely with our Data Scientists, you will also...",Nothing_found
106,Philadelphia,Cell Culture Scientist,Analytical Biological Services,"Spring House, PA 19477",This position requires accurate record keeping and excellent communication skills as the scientist will work closely with team members and assay scientists to...,Nothing_found
107,Philadelphia,Senior Research Scientist,Nemours,"Wilmington, DE 19803","Senior Research Scientist. The Nemours Center for Healthcare Delivery Science is seeking a Senior Research Scientist in Wilmington, Delaware....",Nothing_found
108,Philadelphia,Data Scientist,HVH Precision Analytics,Nothing_found,Apply data mining and machine learning techniques and models to extract analytic insights from healthcare and non-healthcare data sets....,HVH Precision Analytics
109,Philadelphia,Data Scientist,4C Health Solutions,Nothing_found,Deep knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources....,4C Health Solutions
110,Atlanta,Data Analyst III,Cox Communications,Nothing_found,"Manage and mentor a group of data scientists, data engineers, and data analysts. Perform hands-on data analysis and modeling on huge data sets....","Cox Communications


2,484 reviews"
111,Atlanta,Senior Data Scientist,BlackRock,Nothing_found,We are looking for a data scientist who can help us apply cutting edge NLP and machine learning techniques to our rich data set....,"BlackRock


399 reviews"
112,Atlanta,Junior Qlikview/Qlik Sense Developer,Stratfield Consulting,Nothing_found,Skills and knowledge in performing data analysis to troubleshoot data quality issues. A key component of this effort is a data visualization strategy to create...,Stratfield Consulting
113,Atlanta,Senior Scientist Immunology,"NovAb, Inc.","Atlanta, GA","(1) recruiting and managing scientific staff, (2) designing and overseeing execution of both in vitro and in vivo experiments, including flow cytometry/FACS...",Nothing_found
114,Atlanta,Big Data Software Developer - CIPHER,Georgia Tech Research Institute,"Atlanta, GA 30318",Cloudera or Hortonworks Big Data Certification. Candidates will contribute to sponsored research projects and have an opportunity to interact with other...,Nothing_found
